Year,Month,Rainfall (mm)
2005,3,
2005,4,27.8
2005,5,46.4
2005,6,80.0
2005,7,82.0
2005,8,1.2
2005,9,
2005,10,45.6
2005,11,132.8
2005,12,28.0
2006,1,
2006,2,50.7
2006,3,42.7
2006,4,
2006,5,47.1
2006,6,202.0
2006,7,
2006,8,102.2
2006,9,180.5
2006,10,22.0
2006,11,49.1
2006,12,103.6
2007,1,49.0
2007,2,108.6
2007,3,84.7
2007,4,196.5
2007,5,12.6
2007,6,
2007,7,63.2
2007,8,162.0
2007,9,44.4
2007,10,25.7
2007,11,179.7
2007,12,116.9
2008,1,
2008,2,263.1
2008,3,65.2
2008,4,144.6
2008,5,3.7
2008,6,143.8
2008,7,100.0
2008,8,45.4
2008,9,95.2
2008,10,75.2
2008,11,69.3
2008,12,68.4
2009,1,28.2
2009,2,114.9
2009,3,61.8
2009,4,147.0
2009,5,148.6
2009,6,
2009,7,60.4
2009,8,
2009,9,17.6
2009,10,
2009,11,19.4
2009,12,73.2
2010,1,43.4
2010,2,261.8
2010,3,
2010,4,29.6
2010,5,196.2
2010,6,176.8
2010,7,123.9
2010,8,42.2
2010,9,47.1
2010,10,99.7
2010,11,153.2
2010,12,97.8
2011,1,69.8
2011,2,
2011,3,
2011,4,
2011,5,143.7
2011,6,96.3
2011,7,277.7
2011,8,54.3
2011,9,81.1
2011,10,50.6
2011,11,168.4
2011,12,83.9
2012,1,195.2
2012,2,
2012,3,271.5
2012,4,189.2
2012,5,53.3
2012,6,267.8
2012,7,65.9
2012,8,23.7
2012,9,25.2
2012,10,31.4
2012,11,53.4
2012,12,47.1
2013,1,186.0
2013,2,188.2
2013,3,65.7
2013,4,232.3
2013,5,111.0
2013,6,358.6
2013,7,38.8
2013,8,17.0
2013,9,56.2
2013,10,38.0
2013,11,197.9
2013,12,37.9
2014,1,20.4
2014,2,62.8
2014,3,128.6
2014,4,
2014,5,39.0
2014,6,68.6
